model,laptop-pearson,laptop-kendall,restaurant-pearson,restaurant-kendall
Broadly Different,,,,
SBERT,0.155599975232107,0.108358615869177,0.118835549250852,0.0702618971225358
WMD-SSWE,0.306442502754251,0.205251565975745,0.320265786129026,0.20974360520382
SOS^S_{PC},0.262283737813087,0.175537727943064,0.252427733731703,0.196492319037535
SOS^S_{Yelp},0.389167910424605,0.272753654549986,0.231802088878926,0.12103660929506
SOS^T_{PC},0.248533647013596,0.181028328449103,0.26839177038555,0.1841102697516
SOS^T_{Yelp},0.396099010670064,0.299237727579115,0.275102855523735,0.17305783649637
Broadly Similar,,,,
SBERT,0.390673496346988,0.27227644201055,0.399328326544489,0.275865103075349
WMD-SSWE,0.22828315361275,0.121514550436579,0.179219267566661,0.143426516563466
SOS^S_{PC},0.265681257936174,0.21499623977162,0.365536635410442,0.323198562337402
SOS^S_{Yelp},0.283569621365798,0.236091591627258,0.45368356024267,0.36476098587709
SOS^T_{PC},0.478369886203823,0.346343087484762,0.461945224724293,0.332862648285779
SOS^T_{Yelp},0.398714871210426,0.304834488999102,0.528963651268552,0.40115552232098
